Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],FWI,Riesgo
6.273,63.0,0.0,20.780453,23.049715545654294,Moderado
6.273,64.0,0.0,20.380579,22.674196861267088,Moderado
7.023,60.0,0.0,22.530937,24.567027542114257,Alto
8.023,55.0,0.0,27.193705,28.207849754333495,Alto
8.672999,53.0,0.0,26.400545,27.964255027771,Alto
9.523,49.0,0.0,28.082308,29.560110221862793,Alto
10.123,46.0,0.0,28.808998,30.41089878845215,Alto
10.373,46.0,0.0,26.341572,28.833876251220705,Alto
10.723,46.0,0.0,23.623243,27.1000726852417,Alto
11.723,44.0,0.0,24.087738,27.683207275390625,Alto
12.523,39.0,0.0,25.277023,29.077507003784177,Alto
13.223,37.0,0.0,23.110205,27.951675804138183,Alto
13.373,40.0,0.0,22.226902,27.036028900146484,Alto
13.473,39.0,0.0,21.749483,26.851371101379396,Alto
13.073,43.0,0.0,19.652176,25.009505279541017,Alto
12.573,44.0,0.0,13.53236,20.9263438873291,Moderado
11.323,51.0,0.0,5.8048253,15.06381149482727,Moderado
9.873,58.0,0.0,7.5685663,15.304060718536377,Moderado
9.422999,61.0,0.0,10.00256,16.495952392578126,Moderado
8.973,62.0,0.0,10.948973,16.965842399597168,Moderado
8.823,51.0,0.0,14.689588,20.665598407745364,Moderado
8.373,59.0,0.0,18.532135,22.17459895324707,Moderado
7.6730003,64.0,0.0,19.602652,22.240411643981936,Moderado
7.623,76.0,0.0,13.324863,16.779116058349608,Moderado
7.4230003,82.0,0.0,9.504273,13.60105609512329,Bajo
7.273,86.0,0.0,7.5685663,11.87526070022583,Bajo
7.823,84.0,0.0,5.2416787,10.639145090103149,Bajo
8.273,83.0,0.2,7.289444,7.097505905151367,Bajo
9.073,81.0,0.9,6.8777895,7.106800434112549,Bajo
10.373,72.0,0.1,8.0899935,14.01185980606079,Bajo
13.223,55.0,0.0,26.758923,28.177450119018552,Alto
13.922999,47.0,0.0,35.931534,35.06221174621582,Muy alto
14.172999,46.0,0.0,35.364388,34.82696952819825,Muy alto
14.373,46.0,0.2,34.597477,29.342679168701174,Alto
15.123,39.0,0.1,35.143818,35.556522735595706,Muy alto
14.523,41.0,0.0,36.06474,35.88479605102539,Muy alto
13.073,40.0,0.0,34.217045,34.74328086853027,Muy alto
12.422999,41.0,0.0,29.88,31.801023429870607,Alto
11.573,44.0,0.0,27.038372,29.576215591430664,Alto
11.073,46.0,0.0,22.101183,26.136665809631346,Alto
10.773,47.0,0.0,14.372974,21.02729949951172,Moderado
9.723,51.0,0.0,11.480557,18.642182971954348,Moderado
8.723,56.0,0.0,12.768586,18.833673465728758,Moderado
8.373,60.0,0.0,15.986593,20.417270057678223,Moderado
8.273,60.0,0.0,17.727943,21.533899551391603,Moderado
8.123,59.0,0.0,20.447239,23.395925872802735,Moderado
7.4230003,60.0,0.0,17.10284,21.090533248901366,Moderado
7.323,63.0,0.0,15.696165,19.825834312438964,Moderado
7.1730003,64.0,0.0,15.192682,19.376391395568845,Moderado
7.373,62.0,0.0,16.199999,20.270703269958496,Moderado
8.573,57.0,0.0,19.09358,22.781769676208498,Moderado
10.273,50.0,0.0,25.984919,28.12739156341553,Alto
12.073,46.0,0.0,27.887802,29.91124856567383,Alto
13.073,44.0,0.0,34.04808,34.16246780395508,Muy alto
13.922999,42.0,0.0,37.868507,36.89962272644043,Muy alto
14.422999,41.0,0.0,39.268063,37.94293627929687,Muy alto
14.773,41.0,0.0,36.79756,36.368733688354496,Muy alto
15.273,40.0,0.0,36.64404,36.411865203857424,Muy alto
14.873,39.0,0.0,34.45484,35.100822006225584,Muy alto
14.922999,40.0,0.0,33.014175,34.05743293762207,Muy alto
14.873,40.0,0.0,29.168886,31.5786667098999,Alto
14.523,41.0,0.0,28.512817,31.02135838317871,Alto
13.623,45.0,0.0,25.600533,28.63064695739746,Alto
13.223,46.0,0.0,23.277834,26.997629035949707,Alto
12.623,46.0,0.0,22.493519,26.463730133056643,Alto
11.922999,50.0,0.0,19.85556,24.259284805297852,Alto
11.623,51.0,0.0,19.008545,23.581406936645507,Moderado
