Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],Riesgo
6.273,63.0,0.0,20.780453,Moderado
6.273,64.0,0.0,20.380579,Moderado
7.023,60.0,0.0,22.530937,Alto
8.023,55.0,0.0,27.193705,Alto
8.672999,53.0,0.0,26.400545,Alto
9.523,49.0,0.0,28.082308,Alto
10.123,46.0,0.0,28.808998,Alto
10.373,46.0,0.0,26.341572,Alto
10.723,46.0,0.0,23.623243,Alto
11.723,44.0,0.0,24.087738,Alto
12.523,39.0,0.0,25.277023,Alto
13.223,37.0,0.0,23.110205,Alto
13.373,40.0,0.0,22.226902,Alto
13.473,39.0,0.0,21.749483,Alto
13.073,43.0,0.0,19.652176,Alto
12.573,44.0,0.0,13.53236,Moderado
11.323,51.0,0.0,5.8048253,Moderado
9.873,58.0,0.0,7.5685663,Moderado
9.422999,61.0,0.0,10.00256,Moderado
8.973,62.0,0.0,10.948973,Moderado
8.823,51.0,0.0,14.689588,Moderado
8.373,59.0,0.0,18.532135,Moderado
7.6730003,64.0,0.0,19.602652,Moderado
7.623,76.0,0.0,13.324863,Moderado
7.4230003,82.0,0.0,9.504273,Bajo
7.273,86.0,0.0,7.5685663,Bajo
7.823,84.0,0.0,5.2416787,Bajo
8.273,83.0,0.2,7.289444,Bajo
9.073,81.0,0.9,6.8777895,Bajo
10.373,72.0,0.1,8.0899935,Bajo
13.223,55.0,0.0,26.758923,Alto
13.922999,47.0,0.0,35.931534,Muy alto
14.172999,46.0,0.0,35.364388,Muy alto
14.373,46.0,0.2,34.597477,Alto
15.123,39.0,0.1,35.143818,Muy alto
14.523,41.0,0.0,36.06474,Muy alto
13.073,40.0,0.0,34.217045,Muy alto
12.422999,41.0,0.0,29.88,Alto
11.573,44.0,0.0,27.038372,Alto
11.073,46.0,0.0,22.101183,Alto
10.773,47.0,0.0,14.372974,Moderado
9.723,51.0,0.0,11.480557,Moderado
8.723,56.0,0.0,12.768586,Moderado
8.373,60.0,0.0,15.986593,Moderado
8.273,60.0,0.0,17.727943,Moderado
8.123,59.0,0.0,20.447239,Moderado
7.4230003,60.0,0.0,17.10284,Moderado
7.323,63.0,0.0,15.696165,Moderado
7.1730003,64.0,0.0,15.192682,Moderado
7.373,62.0,0.0,16.199999,Moderado
8.573,57.0,0.0,19.09358,Moderado
10.273,50.0,0.0,25.984919,Alto
12.073,46.0,0.0,27.887802,Alto
13.073,44.0,0.0,34.04808,Muy alto
13.922999,42.0,0.0,37.868507,Muy alto
14.422999,41.0,0.0,39.268063,Muy alto
14.773,41.0,0.0,36.79756,Muy alto
15.273,40.0,0.0,36.64404,Muy alto
14.873,39.0,0.0,34.45484,Muy alto
14.922999,40.0,0.0,33.014175,Muy alto
14.873,40.0,0.0,29.168886,Alto
14.523,41.0,0.0,28.512817,Alto
13.623,45.0,0.0,25.600533,Alto
13.223,46.0,0.0,23.277834,Alto
12.623,46.0,0.0,22.493519,Alto
11.922999,50.0,0.0,19.85556,Alto
11.623,51.0,0.0,19.008545,Moderado
11.373,54.0,0.1,20.696087,Alto
11.023,57.0,0.1,21.897945,Alto
10.523,62.0,0.5,21.203358,Moderado
10.573,61.0,0.4,24.464113,Moderado
9.623,70.0,0.0,23.749088,Alto
8.773,69.0,0.0,18.0,Moderado
8.173,62.0,0.0,20.188908,Moderado
8.023,67.0,0.0,21.933426,Moderado
8.773,62.0,0.0,24.94413,Alto
10.273,56.0,0.0,26.544964,Alto
11.073,50.0,0.0,27.852928,Alto
11.422999,48.0,0.0,29.533169,Alto
12.073,43.0,0.1,31.06239,Muy alto
12.223,43.0,0.2,30.602118,Alto
12.073,44.0,0.3,30.344814,Alto
11.573,43.0,0.2,33.541878,Alto
12.172999,39.0,0.0,35.016357,Muy alto
11.573,39.0,0.0,33.790176,Muy alto
10.723,39.0,0.0,31.52005,Muy alto
10.273,38.0,0.0,29.427662,Alto
9.573,39.0,0.0,26.661882,Alto
8.473,42.0,0.0,23.499481,Alto
7.4729996,49.0,0.0,20.275385,Alto
6.6730003,57.0,0.0,20.140705,Moderado
6.2229996,62.0,0.0,22.077717,Alto
6.123,64.0,0.0,23.34455,Alto
5.9729996,64.0,0.0,24.86868,Alto
6.023,62.0,0.1,25.96496,Alto
6.023,64.0,0.0,25.620771,Alto
6.073,66.0,0.0,26.64,Alto
6.323,66.0,0.0,27.691935,Alto
7.023,65.0,0.0,27.210379,Alto
7.9729996,63.0,0.2,32.846916,Alto
9.373,56.0,0.1,30.190672,Alto
10.223,51.0,0.1,33.528355,Muy alto
10.873,48.0,0.0,33.857227,Muy alto
11.723,44.0,0.0,33.574707,Muy alto
11.823,44.0,0.0,34.38895,Muy alto
11.323,49.0,0.1,32.55363,Muy alto
11.672999,44.0,0.0,33.75756,Muy alto
11.473,46.0,0.0,33.092598,Muy alto
11.523,46.0,0.0,30.244286,Alto
11.023,50.0,0.0,30.0767,Alto
11.223,46.0,0.0,28.766228,Alto
10.373,50.0,0.0,25.849905,Alto
9.523,56.0,0.0,21.313093,Alto
