date,Humedad_suelo_[mm³/mm³],Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h]
2022-11-16 08:00:00+00:00,0.191,6.273,63.0,0.0,20.780453
2022-11-16 09:00:00+00:00,0.19,6.273,64.0,0.0,20.380579
2022-11-16 10:00:00+00:00,0.19,7.023,60.0,0.0,22.530937
2022-11-16 11:00:00+00:00,0.189,8.023,55.0,0.0,27.193705
2022-11-16 12:00:00+00:00,0.187,8.672999,53.0,0.0,26.400545
2022-11-16 13:00:00+00:00,0.185,9.523,49.0,0.0,28.082308
2022-11-16 14:00:00+00:00,0.183,10.123,46.0,0.0,28.808998
2022-11-16 15:00:00+00:00,0.182,10.373,46.0,0.0,26.341572
2022-11-16 16:00:00+00:00,0.18,10.723,46.0,0.0,23.623243
2022-11-16 17:00:00+00:00,0.179,11.723,44.0,0.0,24.087738
2022-11-16 18:00:00+00:00,0.178,12.523,39.0,0.0,25.277023
2022-11-16 19:00:00+00:00,0.176,13.223,37.0,0.0,23.110205
2022-11-16 20:00:00+00:00,0.175,13.373,40.0,0.0,22.226902
2022-11-16 21:00:00+00:00,0.174,13.473,39.0,0.0,21.749483
2022-11-16 22:00:00+00:00,0.173,13.073,43.0,0.0,19.652176
2022-11-16 23:00:00+00:00,0.173,12.573,44.0,0.0,13.53236
2022-11-17 00:00:00+00:00,0.169,11.323,51.0,0.0,5.8048253
2022-11-17 01:00:00+00:00,0.17,9.873,58.0,0.0,7.5685663
2022-11-17 02:00:00+00:00,0.17,9.422999,61.0,0.0,10.00256
2022-11-17 03:00:00+00:00,0.171,8.973,62.0,0.0,10.948973
2022-11-17 04:00:00+00:00,0.171,8.823,51.0,0.0,14.689588
2022-11-17 05:00:00+00:00,0.171,8.373,59.0,0.0,18.532135
2022-11-17 06:00:00+00:00,0.171,7.6730003,64.0,0.0,19.602652
2022-11-17 07:00:00+00:00,0.172,7.623,76.0,0.0,13.324863
2022-11-17 08:00:00+00:00,0.173,7.4230003,82.0,0.0,9.504273
2022-11-17 09:00:00+00:00,0.173,7.273,86.0,0.0,7.5685663
2022-11-17 10:00:00+00:00,0.174,7.823,84.0,0.0,5.2416787
2022-11-17 11:00:00+00:00,0.175,8.273,83.0,0.2,7.289444
2022-11-17 12:00:00+00:00,0.187,9.073,81.0,0.9,6.8777895
2022-11-17 13:00:00+00:00,0.198,10.373,72.0,0.1,8.0899935
2022-11-17 14:00:00+00:00,0.198,13.223,55.0,0.0,26.758923
2022-11-17 15:00:00+00:00,0.19,13.922999,47.0,0.0,35.931534
2022-11-17 16:00:00+00:00,0.188,14.172999,46.0,0.0,35.364388
2022-11-17 17:00:00+00:00,0.199,14.373,46.0,0.2,34.597477
2022-11-17 18:00:00+00:00,0.18,15.123,39.0,0.1,35.143818
2022-11-17 19:00:00+00:00,0.176,14.523,41.0,0.0,36.06474
2022-11-17 20:00:00+00:00,0.174,13.073,40.0,0.0,34.217045
2022-11-17 21:00:00+00:00,0.173,12.422999,41.0,0.0,29.88
2022-11-17 22:00:00+00:00,0.172,11.573,44.0,0.0,27.038372
2022-11-17 23:00:00+00:00,0.172,11.073,46.0,0.0,22.101183
2022-11-18 00:00:00+00:00,0.164,10.773,47.0,0.0,14.372974
2022-11-18 01:00:00+00:00,0.165,9.723,51.0,0.0,11.480557
2022-11-18 02:00:00+00:00,0.165,8.723,56.0,0.0,12.768586
2022-11-18 03:00:00+00:00,0.165,8.373,60.0,0.0,15.986593
2022-11-18 04:00:00+00:00,0.165,8.273,60.0,0.0,17.727943
2022-11-18 05:00:00+00:00,0.165,8.123,59.0,0.0,20.447239
2022-11-18 06:00:00+00:00,0.166,7.4230003,60.0,0.0,17.10284
2022-11-18 07:00:00+00:00,0.166,7.323,63.0,0.0,15.696165
2022-11-18 08:00:00+00:00,0.166,7.1730003,64.0,0.0,15.192682
2022-11-18 09:00:00+00:00,0.166,7.373,62.0,0.0,16.199999
2022-11-18 10:00:00+00:00,0.166,8.573,57.0,0.0,19.09358
2022-11-18 11:00:00+00:00,0.165,10.273,50.0,0.0,25.984919
2022-11-18 12:00:00+00:00,0.164,12.073,46.0,0.0,27.887802
2022-11-18 13:00:00+00:00,0.163,13.073,44.0,0.0,34.04808
2022-11-18 14:00:00+00:00,0.161,13.922999,42.0,0.0,37.868507
2022-11-18 15:00:00+00:00,0.16,14.422999,41.0,0.0,39.268063
2022-11-18 16:00:00+00:00,0.159,14.773,41.0,0.0,36.79756
2022-11-18 17:00:00+00:00,0.158,15.273,40.0,0.0,36.64404
2022-11-18 18:00:00+00:00,0.158,14.873,39.0,0.0,34.45484
2022-11-18 19:00:00+00:00,0.157,14.922999,40.0,0.0,33.014175
2022-11-18 20:00:00+00:00,0.157,14.873,40.0,0.0,29.168886
2022-11-18 21:00:00+00:00,0.157,14.523,41.0,0.0,28.512817
2022-11-18 22:00:00+00:00,0.157,13.623,45.0,0.0,25.600533
2022-11-18 23:00:00+00:00,0.157,13.223,46.0,0.0,23.277834
2022-11-19 00:00:00+00:00,0.154,12.623,46.0,0.0,22.493519
2022-11-19 01:00:00+00:00,0.155,11.922999,50.0,0.0,19.85556
2022-11-19 02:00:00+00:00,0.155,11.623,51.0,0.0,19.008545
2022-11-19 03:00:00+00:00,0.156,11.373,54.0,0.1,20.696087
2022-11-19 04:00:00+00:00,0.16,11.023,57.0,0.1,21.897945
2022-11-19 05:00:00+00:00,0.182,10.523,62.0,0.5,21.203358
2022-11-19 06:00:00+00:00,0.179,10.573,61.0,0.4,24.464113
2022-11-19 07:00:00+00:00,0.174,9.623,70.0,0.0,23.749088
2022-11-19 08:00:00+00:00,0.171,8.773,69.0,0.0,18.0
2022-11-19 09:00:00+00:00,0.17,8.173,62.0,0.0,20.188908
2022-11-19 10:00:00+00:00,0.169,8.023,67.0,0.0,21.933426
2022-11-19 11:00:00+00:00,0.168,8.773,62.0,0.0,24.94413
2022-11-19 12:00:00+00:00,0.167,10.273,56.0,0.0,26.544964
2022-11-19 13:00:00+00:00,0.166,11.073,50.0,0.0,27.852928
2022-11-19 14:00:00+00:00,0.168,11.422999,48.0,0.0,29.533169
2022-11-19 15:00:00+00:00,0.174,12.073,43.0,0.1,31.06239
2022-11-19 16:00:00+00:00,0.184,12.223,43.0,0.2,30.602118
2022-11-19 17:00:00+00:00,0.195,12.073,44.0,0.3,30.344814
2022-11-19 18:00:00+00:00,0.213,11.573,43.0,0.2,33.541878
2022-11-19 19:00:00+00:00,0.197,12.172999,39.0,0.0,35.016357
2022-11-19 20:00:00+00:00,0.191,11.573,39.0,0.0,33.790176
2022-11-19 21:00:00+00:00,0.187,10.723,39.0,0.0,31.52005
2022-11-19 22:00:00+00:00,0.185,10.273,38.0,0.0,29.427662
2022-11-19 23:00:00+00:00,0.183,9.573,39.0,0.0,26.661882
2022-11-20 00:00:00+00:00,0.176,8.473,42.0,0.0,23.499481
2022-11-20 01:00:00+00:00,0.175,7.4729996,49.0,0.0,20.275385
2022-11-20 02:00:00+00:00,0.175,6.6730003,57.0,0.0,20.140705
2022-11-20 03:00:00+00:00,0.174,6.2229996,62.0,0.0,22.077717
2022-11-20 04:00:00+00:00,0.174,6.123,64.0,0.0,23.34455
2022-11-20 05:00:00+00:00,0.174,5.9729996,64.0,0.0,24.86868
