,fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
0,2020-01-01,Tucumán,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1,2020-01-01,Buenos Aires,Mujer,39.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2,2020-01-01,Buenos Aires,Mujer,22.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
3,2020-01-01,Buenos Aires,Mujer,53.0,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
4,2020-01-01,Buenos Aires,Mujer,38.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
5,2020-01-01,Buenos Aires,Mujer,23.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
6,2020-01-01,Santiago Del Estero,Mujer,25.0,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
7,2020-01-01,Santa Fe,Mujer,24.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
8,2020-01-01,Santa Fe,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
9,2020-01-01,San Juan,Mujer,21.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
10,2020-01-01,Catamarca,Mujer,22.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
11,2020-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,
12,2020-01-01,Neuquén,Mujer,39.0,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
13,2020-01-01,Mendoza,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
14,2020-01-01,Córdoba,Mujer,42.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
15,2020-01-01,Tucumán,Mujer,34.0,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
16,2020-01-01,Río Negro,Mujer,62.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
17,2020-01-01,Tucumán,Mujer,22.0,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
18,2020-01-01,Buenos Aires,Mujer,40.0,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
19,2020-01-01,Mendoza,Mujer,,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
20,2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,29.0,Boliviana,Si,No,No,No,No,Si,No,No,No,No,No,No,Pareja,
21,2020-01-01,Buenos Aires,Mujer,42.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
22,2020-01-01,Salta,Mujer,23.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
23,2020-01-01,Buenos Aires,Mujer,25.0,Paraguaya,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
24,2020-01-01,Santa Fe,Mujer,39.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
25,2020-01-01,Tucumán,Mujer,22.0,Argentina,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,
26,2020-01-01,Entre Ríos,Mujer,23.0,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
27,2020-01-01,Buenos Aires,Mujer,22.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
28,2020-01-01,Ciudad Autónoma de Buenos Aires,Mujer,25.0,Venezolana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
29,2020-01-01,Buenos Aires,Mujer,34.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
30,2020-01-01,Córdoba,Mujer,20.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
31,2020-01-01,Buenos Aires,Mujer,31.0,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
