año;mes;Temp Max Media;Temp Min Media;Media;Lluvia Caida;Dias con Nieve
2009;enero;16,5;6,2;11,3;13,7;-
2009;febrero;16;5,1;10,3;38,4;-
2009;marzo;13,9;4,3;8,9;20,7;-
2009;abril;9,4;2,5;5,8;59,8;-
2009;mayo;6,3;-1,2;2,1;11,4;1
2009;junio;4,5;-1,5;1,4;19,5;3
2009;julio;3,3;-2,3;0,3;24,9;6
2009;agosto;4,5;-0,9;1,6;79,5;5
2009;septiembre;8,6;0,7;4,2;14,8;2
2009;octubre;10,8;0,6;5,4;7,3;1
2009;noviembre;10,5;0,9;5,6;4,9;4
2009;diciembre;15,2;4,3;9,7;20,3;-
2010;enero;13,2;5,9;10,3;85,5;-
2010;febrero;12,6;6,2;9,2;40,2;-
2010;marzo;11,9;4;8;21,8;-
2010;abril;10,8;-1,9;5,7;20,9;-
2010;mayo;7,1;-0,6;3,8;26,9;-
2010;junio;4,4;-5,1;0,2;31,8;3
2010;julio;4;-7,8;0,1;10,5;2
2010;agosto;4,2;-4,9;2,1;11,9;1
2010;septiembre;6,7;-0,8;3,3;8,9;1
2010;octubre;11,5;3,5;6,8;9,5;2
2010;noviembre;11,6;6,3;8,3;17,5;-
2010;diciembre;15,1;5,4;9,5;24,7;-
2011;enero;14,4;6;10,4;96,6;-
2011;febrero;16,2;6,4;11,1;27,3;-
2011;marzo;13,8;3,8;8,4;35,8;-
2011;abril;9,3;0,6;0;44,5;2
2011;mayo;7;0,2;0;26,8;1
2011;junio;0;0;0;44,9;1
2011;julio;2,7;-2,9;0;57,1;7
2011;agosto;4;-2,4;0,4;26,8;3
2011;septiembre;7,6;0;3,3;31,6;2
2011;octubre;11,3;2,7;6,9;3,5;-
2011;noviembre;13,5;4,8;9;58,2;-
2011;diciembre;16,3;6,6;11,3;25,6;-
2012;enero;17;6,7;11,8;36,8;-
2012;febrero;14,3;2,8;8,4;64,3;-
2012;marzo;13,9;5,5;9;28,5;-
2012;abril;9;1,2;4,9;42,1;2
2012;mayo;6,2;-0,9;2,4;18,6;-
2012;junio;3,5;-3;0,1;4,1;4
2012;julio;2,9;-3,3;-0,1;35,3;8
2012;agosto;6;-0,5;2,4;10,1;3
2012;septiembre;9;1,1;4,5;27,8;-
2012;octubre;12,1;1,9;6,6;8,4;-
2012;noviembre;14,2;3,6;9,1;3,4;-
2012;diciembre;12,6;4,8;8,5;78;1
2013;enero;18,2;8,2;12,9;25,3;-
2013;febrero;15,2;6;10,3;19,2;-
2013;marzo;13,4;4,6;8,9;48;-
2013;abril;13,1;3,8;8,1;24,3;-
2013;mayo;6,8;-0,6;3,1;13,2;3
2013;junio;5;-0,5;2,3;32,3;1
2013;julio;5,6;0;2,6;15,4;1
2013;agosto;4,8;-1,7;1,3;20;6
2013;septiembre;8,1;-1;3,1;16,8;3
2013;octubre;11,6;2;6,4;1,2;-
2013;noviembre;12,9;3;8;39,5;1
2013;diciembre;13,8;4,3;9,2;45,8;-
2014;enero;14,6;4,4;9,4;32;-
2014;febrero;15,7;5,6;10,4;36,2;-
2014;marzo;12,9;3,2;7,5;51;-
2014;abril;10,6;1,8;5,7;29;-
2014;mayo;7,1;0,3;3,6;25;-
2014;junio;4,3;-1,6;1,4;39,8;3
2014;julio;4;-1,7;1,1;34;3
2014;agosto;5,7;-0,4;2,4;50,6;5
2014;septiembre;7,9;1,1;4;40,6;3
2014;octubre;11,3;2,2;6,5;17,5;-
2014;noviembre;13,3;3,6;8,6;27;-
2014;diciembre;14,8;5,2;10,2;52;-
2015;enero;16,7;5,6;11,3;5,9;-
2015;febrero;16,3;5,5;10,5;26,1;-
2015;marzo;15,1;6;9,8;19,4;-
2015;abril;11,2;1,6;5,7;41,9;-
2015;mayo;7,2;1;3,8;78;-
2015;junio;3,6;-1,2;1,1;34;2
2015;julio;3,1;-2,2;5,5;55,1;8
2015;agosto;5,2;-0,6;1,8;52,9;2
2015;septiembre;8;-0,6;3;2,5;-
2015;octubre;10,7;1,4;6;3,2;-
2015;noviembre;14;3,7;9,1;17,3;-
2015;diciembre;14,1;3,3;9,2;26,8;-
2016;enero;17,3;6,2;11,8;13,2;-
2016;febrero;16,1;5,8;11;36,2;-
2016;marzo;15,4;5,8;10,6;24;-
2016;abril;9,5;0,7;5,1;2,2;-
2016;mayo;7,3;-1,1;3,1;3,5;- -
2016;junio;6,2;0,3;3,3;8,8;- -
2016;julio;4,4;-0,7;1,9;34,5;- -
2016;agosto;5,4;-1,7;1,9;40;-
2016;septiembre;10,1;1,3;5,7;1;-
2016;octubre;12,2;2,6;7,4;11,4;-
2016;noviembre;14,8;4,2;9,5;17,5;-
2016;diciembre;15,1;5;10,1;58,1;-
2017;enero;15,4;5,6;10,5;49,5;-
2017;febrero;15,5;6,4;11;87,4;-
2017;marzo;12,2;5,6;8,9;21,6;-
2017;abril;10,6;2,8;6,7;62,2;-
2017;mayo;7,4;0,7;4;70;-
2017;junio;2,9;-2,3;0,3;19,3;4
2017;julio;5,1;-0,2;2,5;12;-
2017;agosto;5,7;0,2;2,9;24,2;4
2017;septiembre;8,7;1;4,9;8,4;5
2017;octubre;10,8;2,3;6,5;13,8;-
2017;noviembre;13,1;4,2;8,7;24,5;-
2017;diciembre;14,6;4,7;9,6;14,1;-
2018;enero;16,4;6,6;11,4;22,9;-
2018;febrero;16,9;6;11,5;15,7;-
2018;marzo;13,3;2,8;8,1;20;-
2018;abril;9,8;1,1;5,1;19,6;1
2018;mayo;7,1;-0,6;3,2;14,8;-
2018;junio;3,3;-3,5;-0,1;7,7;4
2018;julio;2,9;-4,2;-0,7;4,2;5
2018;agosto;6,4;-0,5;2,6;18,5;4
2018;septiembre;7,7;-1,3;2,9;11,9;4
2018;octubre;11;0,3;5,5;30,2;1
2018;noviembre;14,5;3,2;8,8;9,6;-
2018;diciembre;16,9;5,6;11,4;18,4;-
2019;enero;16;4,4;10,7;8,4;-
2019;febrero;16,3;4,2;10,1;11,5;-
2019;marzo;14;4,8;9,2;42,7;-
