año;Prom Max Media;Prom Min Media;Media;Lluvia total;Dias con Nieve
2009;5,8 ;4,8 ;5,5 ;557,3 ;35 
2010;6,4 ;5,3 ;5,8 ;531,1 ;28 
2011;6,5 ;5,5 ;6,0 ;410,4 ;28 
2012;5,9 ;4,8 ;5,4 ;559,8 ;54 
2013;5,9 ;6,4 ;5,3 ;571,4 ;34 
2014;6,0 ;4,9 ;5,5 ;528,6 ;25 
2015;9,1 ;2,3 ;5,5 ;625,5 ;49 
2016;10,9 ;3,1 ;6,7 ;461,6 ;18 
2017;10,8 ;2,8 ;6,6 ;520,1 ;22 
2018;10,9 ;2,3 ;6,5 ;356,4 ;18 
2019;10,3 ;2,3 ;6,1 ;523,2 ;29 
2020;10,8 ;2,8 ;6,6 ;474,2 ;28 
2021;11,3 ;3,1 ;7,0 ;501,0 ;38 
2022;10,8 ;2,8 ;6,6 ;541,1 ;23 
