año;mes;Temp Max Media;Temp Min Media;Media;Lluvia Caida;Dias con Nieve
2009;Enero;10,8;9,4;10,1;30,8;-
2009;Febrero;9,5;8,3;8,9;29,0;-
2009;Marzo;9,1;7,9;8,5;64,6;1
2009;Abril;6,1;5,2;5,7;86,2;1
2009;Mayo;s/d;s/d;2,6;59,2;4
2009;Junio;2,5;1,7;2,1;51,0;9
2009;Julio;1,9;1,2;1,6;46,7;8
2009;Agosto;2,4;1,5;1,9;43,5;1
2009;Septiembre;5,3;4,2;4,7;33,0;3
2009;Octubre;7,6;6,3;7,0;39,7;2
2009;Noviembre;5,0;3,8;4,4;29,8;5
2009;Diciembre;9,5;8,2;8,8;43,8;1
2010;Enero;9,7;8,4;9,0;84,6;-
2010;Febrero;8,5;7,5;8,0;66,0;-
2010;Marzo;8,3;7,2;7,7;26,8;-
2010;Abril;6,8;5,7;6,2;34,5;2
2010;Mayo;5,5;4,4;5,0;45,3;2
2010;Junio;2,1;1,2;1,7;57,0;8
2010;Julio;2,2;1,4;1,8;15,4;4
2010;Agosto;3,7;2,8;3,2;34,5;6
2010;Septiembre;4,7;3,6;4,2;45,0;4
2010;Octubre;8,0;6,8;7,4;14,8;-
2010;Noviembre;9,0;7,6;8,3;26,4;1
2010;Diciembre;7,8;6,5;7,1;80,8;1
2011;enero;10,0;8,8;9,4;73,6;-
2011;febrero;11,2;10,0;10,6;21,8;-
2011;marzo;9,3;8,1;8,7;25,2;-
2011;abril;4,8;3,7;4,2;45,6;4
2011;mayo;4,5;3,6;4,1;58,6;4
2011;junio;2,6;1,8;2,2;19,5;7
2011;julio;1,8;1,1;1,4;20,5;5
2011;agosto;1,7;0,9;1,3;28,6;5
2011;septiembre;4,3;3,3;3,8;28,0;3
2011;octubre;7,5;6,3;6,9;23,4;-
2011;noviembre;9,1;7,8;8,5;30,0;-
2011;diciembre;11,4;10,1;10,7;35,6;-
2012;enero;10,7;9,5;10,1;34,2;-
2012;febrero;7,8;6,6;7,2;31,2;-
2012;marzo;9,1;8,0;8,5;65,8;-
2012;abril;5,5;4,5;5,0;51,2;2
2012;mayo;3,7;2,8;3,3;49,4;9
2012;junio;0,8;-0,4;0,2;104,2;16
2012;julio;1,4;0,5;1,0;35,7;11
2012;agosto;4,8;3,7;4,2;10,1;4
2012;septiembre;5,4;4,4;5,0;49,0;8
2012;octubre;6,0;4,9;5,5;31,4;2
2012;noviembre;8,1;6,8;7,5;38,0;2
2012;diciembre;7,8;6,8;7,3;59,6;-
2013;enero;11,0;11,6;10,5;48,6;-
2013;febrero;9,0;9,6;8,5;67,0;-
2013;marzo;8,9;9,4;8,3;39,0;-
2013;abril;8,0;8,6;7,4;14,4;-
2013;mayo;3,0;3,5;2,5;48,8;4
2013;junio;2,4;2,9;1,9;77,9;10
2013;julio;2,6;3,0;2,2;37,9;4
2013;agosto;1,2;1,6;0,7;43,8;9
2013;septiembre;4,2;4,7;3,7;15,4;3
2013;octubre;6,5;7,1;5,9;27,0;2
2013;noviembre;6,5;7,1;5,8;93,4;2
2013;diciembre;7,0;7,6;6,4;58,2;-
2014;enero;8,5;7,3;7,9;40,8;-
2014;febrero;9,2;8,0;8,6;24,6;-
2014;marzo;6,7;5,7;6,2;115,0;-
2014;abril;6,6;5,6;6,1;24,8;-
2014;mayo;4,9;3,8;4,4;36,8;3
2014;junio;2,7;1,9;2,3;19,6;1
2014;julio;2,8;1,9;2,4;44,8;5
2014;agosto;3,2;2,3;2,8;57,2;7
2014;septiembre;4,4;3,5;4,0;29,4;2
2014;octubre;6,7;5,5;6,1;35,0;5
2014;noviembre;7,4;6,2;6,8;38,8;-
2014;diciembre;8,6;7,5;8,0;61,8;-
2015;enero;14,3;5,3;9,5;29,0;-
2015;febrero;13,9;4,6;8,9;44,2;-
2015;marzo;13,9;4,7;9,5;48,0;-
2015;abril;10,2;2,2;5,9;39,0;2
2015;mayo;6,4;0,5;3,2;70,6;5
2015;junio;4,0;-1,2;1,3;89,7;10
2015;julio;3,7;-2,6;0,4;40,5;11
2015;agosto;5,7;-1,4;2,0;68,7;7
2015;septiembre;3,7;1,8;2,5;69,6;10
2015;octubre;7,6;5,8;6,4;34,6;1
2015;noviembre;12,4;3,9;8,0;50,4;2
