idtitulo_real,titulo,nombre,provincia,desc_espacio,caracter
462,PROFESORA DE INGLÉS,INSTITUTO DE EDUCACIÓN SUPERIOR N° 10,JUJUY,A.T.T.P. INGLÉS,Docente
462,PROFESORA DE INGLÉS,INSTITUTO DE EDUCACIÓN SUPERIOR N° 10,JUJUY,LENGUA EXTRANJERA: INGLÉS,Docente
462,PROFESORA DE INGLÉS,INSTITUTO DE EDUCACIÓN SUPERIOR N° 10,JUJUY,LENGUA EXTRANJERA: INGLÉS,Docente
462,PROFESORA DE INGLÉS,INSTITUTO DE EDUCACIÓN SUPERIOR N° 10,JUJUY,LENGUAS EXTRANJERAS: INGLÉS,Docente
462,PROFESORA DE INGLÉS,INSTITUTO DE EDUCACIÓN SUPERIOR N° 10,JUJUY,ESTUDIOS INTERCULTURALES EN LENGUA I Y II (INGLÉS),Docente
462,PROFESORA DE INGLÉS,INSTITUTO DE EDUCACIÓN SUPERIOR N° 10,JUJUY,INGLÉS - INGLÉS TÉCNICO,Docente
462,PROFESORA DE INGLÉS,INSTITUTO DE EDUCACIÓN SUPERIOR N° 10,JUJUY,INGLÉS,Docente
466,PROFESOR/A DE EDUCACIÓN PRIMARIA,"INSTITUTO DE EDUCACIÓN SUPERIOR ""LAS GARCITAS""",LAS GARCITAS,BIBLIOTECARIO,Supletorio
466,PROFESOR/A DE EDUCACIÓN PRIMARIA,"INSTITUTO DE EDUCACIÓN SUPERIOR ""LAS GARCITAS""",LAS GARCITAS,PRECEPTOR/A,Habilitante
466,PROFESOR/A DE EDUCACIÓN PRIMARIA,"INSTITUTO DE EDUCACIÓN SUPERIOR ""LAS GARCITAS""",LAS GARCITAS,CONSTRUCCIÓN DE LA CIUDADANÍA,Docente
466,PROFESOR/A DE EDUCACIÓN PRIMARIA,"INSTITUTO DE EDUCACIÓN SUPERIOR ""LAS GARCITAS""",LAS GARCITAS,CONSTRUCCIÓN DE LA CIUDADANÍA,Supletorio
467,CERTIFICADO DE EDUCACIÓN POLIMODAL,COLEGIO DIOCESANO MONSEÑOR MIGUEL ÁNGEL ALEMÁN,TIERRA DEL FUEGO,PRECEPTOR/A,Supletorio
470,TITULO GRAD. EN EDUC. POLIMODAL - MODALIDAD CS NAT. PERFIL: SALUD HUMANA,COLEGIO DE EDUCACION POLIMODAL N° 35,CHACO,PRECEPTOR/A,Supletorio
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,BIBLIOTECARIO,Habilitante
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,PRECEPTOR/A,Docente
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,MATEMÁTICA,Docente
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,MATEMÁTICA,Docente
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,MATEMÁTICA,Docente
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,MATEMÁTICA,Docente
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,MATEMÁTICA FINANCIERA,Docente
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,MATEMÁTICA I – II – III - IV,Docente
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,MATEMÁTICA,Docente
476,PROFESORADO PARA LA EDUCACIÓN SECUNDARIA EN MATEMÁTICAS,UNIDAD EDUCATIVA PRIVADA N° 56 “CARLOS BELISARIO ENRIQUEZ”,CHACO,MATEMÁTICA FINANCIERA,Docente
471,TÉCNICO/A SUPERIOR EN SEGURIDAD E HIGIENE Y CONTROL AMBIENTAL INDUSTRIAL,INSTITUTO SUPERIOR EZEQUIEL MARTINEZ ESTRADA (6621),BUENOS AIRES,HIGIENE INDUSTRIAL I – II,Habilitante
471,TÉCNICO/A SUPERIOR EN SEGURIDAD E HIGIENE Y CONTROL AMBIENTAL INDUSTRIAL,INSTITUTO SUPERIOR EZEQUIEL MARTINEZ ESTRADA (6621),BUENOS AIRES,SANEAMIENTO AMBIENTAL,Habilitante
471,TÉCNICO/A SUPERIOR EN SEGURIDAD E HIGIENE Y CONTROL AMBIENTAL INDUSTRIAL,INSTITUTO SUPERIOR EZEQUIEL MARTINEZ ESTRADA (6621),BUENOS AIRES,SEGURIDAD EN EL TRABAJO I – II – III,Habilitante
471,TÉCNICO/A SUPERIOR EN SEGURIDAD E HIGIENE Y CONTROL AMBIENTAL INDUSTRIAL,INSTITUTO SUPERIOR EZEQUIEL MARTINEZ ESTRADA (6621),BUENOS AIRES,PRECEPTOR/A,Habilitante
478,PROFESOR/A DE PRIMERO Y SEGUNDO CICLO DE EGB,INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE N° 159,BUENOS AIRES,PRECEPTOR/A,Habilitante
