ID;Precio;Barrio;Ciudad;Mapa ubicacion;Latitud;Longitud;Ambientes;Metros²;Tipo_propiedad;Amoblado;Antigüedad;Baños;Cochera;Mascotas_permitidas;Expensas_incluidas;Fecha_publicacion;Fecha_relevamiento;Fuentes;Id_publicacion
1;400.000,00;centro;rio grande;como llegar;-53,786938;-67,708307;2;85;departamento;no;28;1;no;NaN;no;27-04-2026;16-05-2026;Mercado Libre;slc1871
2;550.000,00;camionero;rio grande;como llegar;-53,784657;-67,724129;3;70;loft;no;20;1;si;si;no;27-04-2026;16-05-2026;Mercado Libre;slc1872
3;600.000,00;mutual;rio grande;como llegar;-53,771053;-67,710684;3;56;duplex;semi;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1873
4;750.000,00;cgt;rio grande;como llegar;-53,75951;-67,727405;3;60;casa;no;NaN;1;si;si;NaN;08/05/2026;16-05-2026;Argenprop;slc1874
5;480.000,00;chacra XIII;rio grande;como llegar;-53,800836;-67,753992;4;67;departamento;no;14;1;si;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1875
6;500.000,00;centro;rio grande;como llegar;-32,802409;-70,906997;2;30;departamento;no;a estrenar;1;no;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1876
7;750.000,00;centro;rio grande;como llegar;-53,781672;-67,694712;3;54;departamento;si;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1877
8;700.000,00;mutual;rio grande;como llegar;-53,770672;-67,713129;3;100;duplex;no;NaN;1;no;NaN;si;08/05/2026;16-05-2026;Argenprop;slc1878
9;500.000,00;cgt;rio grande;como llegar;-53,774095;-67,728926;2;40;departamento;no;NaN;1;no;no  ;NaN;08/05/2026;16-05-2026;Argenprop;slc1879
10;480.000,00;chacra IV;rio grande;como llegar;-53,774314;-67,728872;2;50;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Argenprop;slc1880
11;750.000,00;chacra XIII;rio grande;como llegar;-53,799821;-67,756489;4;67;departamento;no;NaN;1;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1881
12;450.000,00;danes;rio grande;como llegar;-53,792378;-67,723764;2;45;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1882
13;400.000,00;intevu;rio grande;como llegar;-53,790895;-67,722465;2;45;departamento;no;NaN;1;no;no;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1883
14;1.400.000,00;centro;rio grande;como llegar;-53,756865;-67,726086;2;190;casa;no;NaN;1;no;no;no;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1884
15;450.000,00;chacra XIII;rio grande;como llegar;-53,801155;-67,759848;2;55;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1885
16;600.000,00;chacra II;rio grande;como llegar;-53,765856;-67,723841;4;53;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1886
17;750.000,00;centro;rio grande;como llegar;-53,791059;-67,691998;3;80;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1887
18;700.000,00;buena vista;rio grande;como llegar;-53,772582;-67,721139;3;60;departamento;no;NaN;1;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1888
19;450.000,00;chacra XIII;rio grande;como llegar;-53,799418;-67,751896;2;60;departamento;semi;NaN;1;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1889
20;1.500.000,00;agp;rio grande;como llegar;-53,796997;-67,683927;6;240;casa;no;NaN;3;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1890
21;700.000,00;chacra rafull;rio grande;como llegar;-53,780077;-67,718139;4;70;departamento;no;NaN;1;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1891
22;650.000,00;san martin;rio grande;como llegar;-53,789218;-67,734241;4;45;departamento;no;NaN;1;no;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1892
23;2.400.000,00;barrancas;rio grande;como llegar;-53,751535;-67,734949;8;190;casa;si;NaN;3;si;NaN;NaN;08/05/2026;16-05-2026;Inmobiliaria TDF;slc1893
24;770.000,00;centro;rio grande;como llegar;-53,785055;-67,697889;2;50;departamento;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1894
25;600.000,00;chacra IV;rio grande;como llegar;-53,771072;-67,736591;3;NaN;casa;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soliciones Inmob.;slc1895
26;400.000,00;aeropuerto;rio grande;como llegar;-53,789634;-67,751039;1;20;departamento;no;NaN;1;no;NaN;NaN;09/05/2026;17-05-2026;Soluciones Inmob.;slc1896
