AMD;temp mediaC;tempmaxC;H;M;tempminC;H;M;vientomediokm/h;dir;rfgakm/h;dir;H;M;pres.mediahPa;lluviadiariamm;radmaxW/m2;H;M;Uvmaxindex;H;M
2025  4  1;5.8;10.3;14;45;2.3;24;0;20.6;NW;53.1;N;2;20;988.7;3;654;13;0;2;13;0
2025  4  2;1.9;6.4;14;10;-2.1;6;50;9.7;SW;30.6;SW;16;15;1010.4;0;679;13;40;1.8;14;5
2025  4  3;2.6;10.4;14;45;-3.3;2;20;8.4;WSW;24.1;W;9;30;1025.6;0;476;13;10;2.2;13;15
2025  4  4;2.6;9.3;16;15;-4.8;8;0;4.8;NNW;25.7;NNW;14;50;1020.4;0.2;315;14;50;1.3;13;20
2025  4  5;8.2;12.7;14;50;4.7;7;0;5.8;N;24.1;NNE;12;50;1011.4;0.2;594;12;50;2.1;12;55
2025  4  6;8.6;13;17;5;4.8;20;45;2.3;E;14.5;ENE;17;50;1007.6;0;534;15;5;1.7;15;5
2025  4  7;10.6;17.9;15;20;6.8;22;35;12.1;SE;38.6;W;17;10;1005.4;0.2;494;14;35;1.8;14;10
2025  4  8;8.3;15.7;14;50;2.6;3;40;5.6;NNE;25.7;WNW;14;0;1010.5;0;425;14;45;1.4;13;55
2025  4  9;6.8;11.8;15;25;2.6;6;55;5;N;19.3;NNE;16;55;1001.9;0.2;517;14;35;1.6;14;20
2025  4 10;6.8;12.3;15;35;2.4;24;0;15.6;N;41.8;W;9;35;1015.5;0;434;13;15;1.5;12;50
2025  4 11;3.6;10;14;50;-1.4;5;40;5;NW;20.9;NNW;17;5;1007.9;0.2;346;14;45;1.3;14;45
2025  4 12;5.5;10.6;15;10;-1.1;23;25;12.9;W;40.2;W;14;50;1006.9;0.4;568;14;35;1.5;13;20
2025  4 13;2.5;11.7;15;45;-3.6;8;25;6;W;20.9;NNE;16;25;1021.4;0;411;13;20;1.4;13;0
2025  4 14;2;10.8;15;5;-4.6;5;30;5.8;SW;16.1;NNE;15;55;1022.4;0.2;503;14;45;1.4;12;55
2025  4 15;4.3;10.9;15;15;-3.9;6;45;5.1;NNE;22.5;NNW;13;55;1016.8;0.2;415;15;25;1.4;13;25
2025  4 16;9.2;9.8;13;50;8.7;8;15;10.8;NNE;30.6;NE;11;40;1005.8;1;144;13;50;0.8;13;50
2025  4 17;9.1;10.4;15;25;5.4;24;0;4.5;SSE;20.9;WSW;23;5;1003.3;1.8;132;13;40;0.7;13;25
2025  4 18;6.8;11.9;16;20;2.2;6;30;17.7;WNW;45.1;WNW;13;5;1010.8;0;499;13;25;1.4;13;15
2025  4 19;7.2;11.7;12;50;2.7;8;10;11.4;WNW;35.4;WNW;2;10;1014.7;1.2;432;12;45;1.2;12;40
2025  4 20;8.5;10.7;12;10;6.4;23;30;10.5;NE;32.2;NNE;14;55;996.6;1.8;339;12;5;1;12;5
2025  4 21;5.4;10.7;15;25;1.1;24;0;16.4;W;43.5;WSW;13;25;1002.6;0;359;13;20;1;12;45
2025  4 22;4.6;10.4;13;20;-3.2;6;30;11.1;NNE;41.8;NNE;16;55;1003;0.2;383;14;30;1;12;40
2025  4 23;6.4;10.3;13;35;1.3;8;10;16.4;WNW;41.8;W;4;15;1003.2;0.4;371;12;50;1.1;12;45
2025  4 24;8.8;11.3;15;55;7.3;19;15;10.3;E;35.4;NNW;0;30;994.1;0.6;269;15;50;0.9;13;55
