FECHA;HORA;AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLÓGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION
1/1/2024;10;AU ILLIA;DESCENDENTE;900;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
1/1/2024;15;AU FRONDIZI;DESCENDENTE;200;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
2/1/2024;11;AU 25 DE MAYO;DESCENDENTE;1900;BUENO;SECA;4;0;COLISION CON OBSTACULO FIJO;0;1;0;0
2/1/2024;13;AU 25 DE MAYO;DESCENDENTE;1850;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
2/1/2024;15;AU 25 DE MAYO;DESCENDENTE;5000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
3/1/2024;9;AV. LUGONES;DESCENDENTE;4300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
4/1/2024;6;AV. LUGONES;DESCENDENTE;10200;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
4/1/2024;7;AU 25 DE MAYO;DESCENDENTE;4700;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;1
5/1/2024;15;AU PERITO MORENO;ASCENDENTE;900;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;2;0;0
6/1/2024;6;PASEO DEL BAJO;DIST. SUR - RAMAL 1;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;0;2
6/1/2024;16;AV. LUGONES;DESCENDENTE;6500;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;1;0;0
7/1/2024;15;AU 25 DE MAYO;ASCENDENTE;6000;LLUVIOSO;MOJADA/HUMEDA;2;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
8/1/2024;20;AU 25 DE MAYO;DESCENDENTE;9200;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;1
9/1/2024;10;AU 25 DE MAYO;DESCENDENTE;0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
9/1/2024;11;AU 25 DE MAYO;DESCENDENTE;1000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
10/1/2024;8;AU 25 DE MAYO;ASCENDENTE;1900;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;1;0;0;0
10/1/2024;18;PASEO DEL BAJO;DESCENDENTE;1800;LLUVIOSO;MOJADA/HUMEDA;0;0;OBSTACULO NO FIJO;0;1;0;2
11/1/2024;18;AU DELLEPIANE;DESCENDENTE;4100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
12/1/2024;7;AU DELLEPIANE;ASCENDENTE;3000;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
12/1/2024;13;AU 25 DE MAYO;DESCENDENTE;3500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;0
13/1/2024;13;AU 25 DE MAYO;ASCENDENTE;2900;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
13/1/2024;15;AU FRONDIZI;DESCENDENTE;2100;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;1;0;0
14/1/2024;7;AV. LUGONES;DESCENDENTE;10300;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
14/1/2024;15;AV. LUGONES;DESCENDENTE;7500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
16/1/2024;6;AU PERITO MORENO;DESCENDENTE;3400;LLUVIOSO;MOJADA/HUMEDA;2;0;COLISION CON OBSTACULO FIJO;0;1;0;0
16/1/2024;11;AU 25 DE MAYO;ASCENDENTE;900;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
17/1/2024;6;AU 25 DE MAYO;ASCENDENTE;2600;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
17/1/2024;10;AU DELLEPIANE;ASCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
17/1/2024;14;AU PERITO MORENO;DESCENDENTE;2700;BUENO;SECA;0;1;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
18/1/2024;10;AU FRONDIZI;ASCENDENTE;1800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
19/1/2024;14;AV. CANTILO;ASCENDENTE;8200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
19/1/2024;15;AU 25 DE MAYO;DESCENDENTE;800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
19/1/2024;15;AU PERITO MORENO;ASCENDENTE;6000;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;0
19/1/2024;20;AU FRONDIZI;DESCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
20/1/2024;7;AU 25 DE MAYO;ASCENDENTE;300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
20/1/2024;13;AU PERITO MORENO;DESCENDENTE;100;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;1;0
21/1/2024;6;AU 25 DE MAYO;DESCENDENTE;6900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
22/1/2024;7;AU 25 DE MAYO;ASCENDENTE;6600;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
23/1/2024;17;AU 25 DE MAYO;DESCENDENTE;1800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
23/1/2024;19;AU PERITO MORENO;DESCENDENTE;5300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
24/1/2024;8;AU DELLEPIANE;ASCENDENTE;2000;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;0
25/1/2024;9;AU 25 DE MAYO;DESCENDENTE;9100;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
25/1/2024;9;AU 25 DE MAYO;ASCENDENTE;6800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
25/1/2024;11;AU 25 DE MAYO;ASCENDENTE;4500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1
25/1/2024;16;PASEO DEL BAJO;DIST. NORTE - RAMAL 4;-;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;0;0;1
26/1/2024;12;AU 25 DE MAYO;DESCENDENTE;7400;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;1
27/1/2024;23;AU FRONDIZI;DESCENDENTE;1500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
28/1/2024;8;AU 25 DE MAYO;ASCENDENTE;8100;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
29/1/2024;8;AU DELLEPIANE;ASCENDENTE;1200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
30/1/2024;7;AU DELLEPIANE;ASCENDENTE;0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
30/1/2024;13;AU 25 DE MAYO;ASCENDENTE;6500;BUENO;SECA;0;0;OBSTACULO NO FIJO;1;1;0;0
30/1/2024;14;AV. CANTILO;ASCENDENTE;9200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
31/1/2024;18;AV. CANTILO;ASCENDENTE;10000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
1/2/2024;1;AU DELLEPIANE;DESCENDENTE;4000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1
1/2/2024;8;AU PERITO MORENO;ASCENDENTE;6100;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
1/2/2024;9;AU FRONDIZI;ASCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
1/2/2024;9;AU 25 DE MAYO;ASCENDENTE;2700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
1/2/2024;9;AU PERITO MORENO;ASCENDENTE;5300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;2
1/2/2024;12;PASEO DEL BAJO;DESCENDENTE;1100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;0;3
1/2/2024;15;AU PERITO MORENO;ASCENDENTE;2300;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;1;0;0
1/2/2024;18;AU 25 DE MAYO;DESCENDENTE;6000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
1/2/2024;18;AU 25 DE MAYO;DESCENDENTE;1200;BUENO;SECA;0;0;OBSTACULO NO FIJO;2;0;0;0
1/2/2024;19;AU 25 DE MAYO;DESCENDENTE;1200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
2/2/2024;5;DIST. 9 DE JULIO;RAMAL 3;-;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
2/2/2024;11;AU 25 DE MAYO;DESCENDENTE;7500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;1
2/2/2024;12;AU PERITO MORENO;DESCENDENTE;1100;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;2;0;0;0
2/2/2024;13;AU PERITO MORENO;DESCENDENTE;3000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;1
2/2/2024;14;AU 25 DE MAYO;DESCENDENTE;4000;BUENO;SECA;6;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
2/2/2024;15;AU PERITO MORENO;DESCENDENTE;2900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
2/2/2024;19;AV. CANTILO;ASCENDENTE;9200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
2/2/2024;21;AU 25 DE MAYO;DESCENDENTE;2700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
2/2/2024;22;TRANSICION RAMAL 3;RAMAL DE ENLACE;-;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;0
3/2/2024;23;AU 25 DE MAYO;DESCENDENTE;7100;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
4/2/2024;3;AU 25 DE MAYO;ASCENDENTE;3200;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
4/2/2024;22;AU DELLEPIANE;DESCENDENTE;3500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
4/2/2024;22;AV. CANTILO;ASCENDENTE;10400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;2;0;0
5/2/2024;8;AU PERITO MORENO;ASCENDENTE;400;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
6/2/2024;7;AU 25 DE MAYO;ASCENDENTE;2200;BUENO;SECA;2;0;COLISION CON OBSTACULO FIJO;0;1;0;0
7/2/2024;8;AU 25 DE MAYO;ASCENDENTE;9000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
7/2/2024;13;AV. CANTILO;ASCENDENTE;8600;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
7/2/2024;17;AU 25 DE MAYO;ASCENDENTE;7700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
7/2/2024;18;AU PERITO MORENO;DESCENDENTE;5000;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
9/2/2024;5;AV. CANTILO;ASCENDENTE;9800;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
9/2/2024;15;AU 25 DE MAYO;ASCENDENTE;8500;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;2
9/2/2024;22;AV. CANTILO;ASCENDENTE;8600;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
10/2/2024;5;AU DELLEPIANE;DESCENDENTE;2000;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
10/2/2024;12;AU CAMPORA;ASCENDENTE;2000;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0
10/2/2024;16;AV. LUGONES;DESCENDENTE;10200;BUENO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
10/2/2024;22;AU 25 DE MAYO;DESCENDENTE;100;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
11/2/2024;5;AU DELLEPIANE;ASCENDENTE;600;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
11/2/2024;7;AU PERITO MORENO;ASCENDENTE;5400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
14/2/2024;10;AU ILLIA;ASCENDENTE;6000;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0
14/2/2024;12;AU 25 DE MAYO;ASCENDENTE;1500;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;1
14/2/2024;15;AU FRONDIZI;DESCENDENTE;400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
14/2/2024;19;AU 25 DE MAYO;DESCENDENTE;4800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
14/2/2024;19;AV. CANTILO;ASCENDENTE;8900;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;2;1;0;0
15/2/2024;8;AU 25 DE MAYO;ASCENDENTE;900;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
15/2/2024;13;AV. LUGONES;DESCENDENTE;4000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
15/2/2024;13;AU DELLEPIANE;ASCENDENTE;500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
15/2/2024;19;AV. CANTILO;ASCENDENTE;8900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
16/2/2024;2;AU PERITO MORENO;DESCENDENTE;3300;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
16/2/2024;13;AU PERITO MORENO;DESCENDENTE;1900;BUENO;SECA;0;1;OBSTACULO NO FIJO;1;0;0;1
16/2/2024;15;AU PERITO MORENO;DESCENDENTE;1900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
17/2/2024;8;AU 25 DE MAYO;DESCENDENTE;0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
17/2/2024;11;AU 25 DE MAYO;ASCENDENTE;8100;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
17/2/2024;20;AU 25 DE MAYO;ASCENDENTE;7000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
18/2/2024;7;AU 25 DE MAYO;DESCENDENTE;3300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
18/2/2024;13;AU 25 DE MAYO;ASCENDENTE;4700;BUENO;SECA;1;0;OBSTACULO NO FIJO;0;2;0;0
19/2/2024;6;AU FRONDIZI;DESCENDENTE;2000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
19/2/2024;15;TRANSICION RAMAL 3;RAMAL DE ENLACE;-;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
19/2/2024;17;AU 25 DE MAYO;ASCENDENTE;8200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
20/2/2024;10;AU 25 DE MAYO;ASCENDENTE;6500;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
20/2/2024;16;AU 25 DE MAYO;DESCENDENTE;900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
21/2/2024;7;AU 25 DE MAYO;ASCENDENTE;9100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
21/2/2024;8;AU PERITO MORENO;ASCENDENTE;5600;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;2;1;0;0
21/2/2024;13;AU DELLEPIANE;DESCENDENTE;2100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
21/2/2024;13;TRANSICION RAMAL 2;RAMAL DE ENLACE;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;0
21/2/2024;14;DIST. 9 DE JULIO;RAMAL 3;-;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
21/2/2024;17;DIST. 9 DE JULIO;RAMAL 2;-;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0
21/2/2024;19;AU 25 DE MAYO;DESCENDENTE;6200;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;4;0;0
21/2/2024;19;AU 25 DE MAYO;DESCENDENTE;6100;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0
22/2/2024;10;AV. LUGONES;DESCENDENTE;5900;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;2
22/2/2024;17;DIST. UDAONDO;-;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;5;0;0
22/2/2024;20;AU PERITO MORENO;ASCENDENTE;5400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
23/2/2024;9;AU FRONDIZI;DESCENDENTE;2100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
24/2/2024;12;AU 25 DE MAYO;DESCENDENTE;3800;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
